"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa"
"9161",14005,"Paraiso sombrilla","29/11/2011 17:34","Bajo (2 - 4 mts)",124,"Grande",-68.87824,-32.86533,8,"Aeroparque",2203365,0
"9162",14007,"Paraiso sombrilla","29/11/2011 17:31","Bajo (2 - 4 mts)",120,"Grande",-68.87827,-32.86542,8,"Aeroparque",2203365,0
"9163",14012,"Caducifolio","29/11/2011 17:22","Muy bajo (1 - 2 mts)",6,"Chico",-68.87849,-32.86555,8,"Aeroparque",2203365,0
"9164",14015,"Paraiso sombrilla","29/11/2011 17:15","Bajo (2 - 4 mts)",90,"Grande",-68.87864,-32.86552,8,"Aeroparque",2203365,0
"9166",14017,"Morera","29/11/2011 17:10","Bajo (2 - 4 mts)",60,"Mediano",-68.87874,-32.8655,8,"Aeroparque",2203365,0
"9167",14018,"Paraiso","29/11/2011 17:08","Bajo (2 - 4 mts)",110,"Grande",-68.8788,-32.86549,8,"Aeroparque",2203365,0
"9170",14024,"Morera","29/11/2011 16:36","Bajo (2 - 4 mts)",70,"Grande",-68.87885,-32.86527,8,"Aeroparque",2203365,0
"9171",14025,"Paraiso sombrilla","29/11/2011 16:33","Bajo (2 - 4 mts)",100,"Grande",-68.87884,-32.86522,8,"Aeroparque",2203365,0
"9172",14028,"Morera","29/11/2011 16:24","Bajo (2 - 4 mts)",38,"Mediano",-68.8788,-32.86508,8,"Aeroparque",2203365,0
"9174",14033,"Morera","29/11/2011 16:10","Bajo (2 - 4 mts)",56,"Mediano",-68.87875,-32.86487,8,"Aeroparque",2203365,0
"9175",14035,"Aguaribay","29/11/2011 16:05","Alto (> 8 mts)",190,"Grande",-68.87871,-32.86477,8,"Aeroparque",2203365,0
"9176",14037,"Paraiso sombrilla","29/11/2011 16:01","Bajo (2 - 4 mts)",50,"Mediano",-68.8787,-32.8647,8,"Aeroparque",2203365,0
"9177",14038,"Paraiso","29/11/2011 15:59","Medio (4 - 8 mts)",64,"Grande",-68.87868,-32.86465,8,"Aeroparque",2203365,0
"9178",14039,"Morera","29/11/2011 15:57","Medio (4 - 8 mts)",120,"Grande",-68.87868,-32.86462,8,"Aeroparque",2203365,0
"9179",14040,"Jacarand","29/11/2011 15:55","Bajo (2 - 4 mts)",20,"Chico",-68.87865,-32.86453,8,"Aeroparque",2203365,0
"9180",14041,"Paraiso","05/12/2011 12:35","Medio (4 - 8 mts)",90,"Grande",-68.87675,-32.86748,8,"Aeroparque",2203365,0
"9181",14042,"Acacia SP","05/12/2011 12:34","Medio (4 - 8 mts)",70,"Grande",-68.8767,-32.86749,8,"Aeroparque",2203365,0
"9182",14044,"Paraiso","05/12/2011 12:32","Medio (4 - 8 mts)",80,"Grande",-68.87661,-32.86751,8,"Aeroparque",2203365,0
"9183",14045,"Paraiso","05/12/2011 12:31","Medio (4 - 8 mts)",65,"Grande",-68.87656,-32.86752,8,"Aeroparque",2203365,0
"9185",14048,"Catalpa","05/12/2011 12:26","Bajo (2 - 4 mts)",20,"Chico",-68.87639,-32.86755,8,"Aeroparque",2203365,0
"9186",14049,"Acer","05/12/2011 12:24","Medio (4 - 8 mts)",35,"Mediano",-68.87634,-32.86756,8,"Aeroparque",2203365,0
"9187",14050,"Jacarand","05/12/2011 12:19","Medio (4 - 8 mts)",80,"Grande",-68.87629,-32.86757,8,"Aeroparque",2203365,0
"9188",14052,"Jacarand","05/12/2011 12:16","Medio (4 - 8 mts)",75,"Grande",-68.87623,-32.86758,8,"Aeroparque",2203365,0
"9189",14056,"Jacarand","05/12/2011 12:09","Medio (4 - 8 mts)",50,"Mediano",-68.87607,-32.86766,8,"Aeroparque",2203365,1
"9190",14058,"Morera","05/12/2011 12:06","Medio (4 - 8 mts)",78,"Grande",-68.87608,-32.86772,8,"Aeroparque",2203365,0
"9191",14060,"Morera","05/12/2011 12:03","Alto (> 8 mts)",170,"Grande",-68.8761,-32.86781,8,"Aeroparque",2203365,0
"9192",14062,"Morera","05/12/2011 12:00","Alto (> 8 mts)",45,"Mediano",-68.87612,-32.86787,8,"Aeroparque",2203365,0
"9194",14064,"Acer","02/12/2011 10:54","Bajo (2 - 4 mts)",10,"Chico",-68.87614,-32.86794,8,"Aeroparque",2203365,0
"9195",14066,"Paraiso","02/12/2011 10:50","Bajo (2 - 4 mts)",25,"Mediano",-68.87616,-32.868,8,"Aeroparque",2203365,0
"9197",14068,"Morera","02/12/2011 10:39","Medio (4 - 8 mts)",45,"Mediano",-68.8762,-32.86814,8,"Aeroparque",2203365,1
"9198",14069,"Morera","02/12/2011 10:31","Alto (> 8 mts)",140,"Grande",-68.8762,-32.86816,8,"Aeroparque",2203365,0
"9199",14070,"Acacia SP","02/12/2011 10:30","Medio (4 - 8 mts)",30,"Mediano",-68.87622,-32.86824,8,"Aeroparque",2203365,0
"9201",14072,"Acacia SP","02/12/2011 10:26","Medio (4 - 8 mts)",50,"Mediano",-68.87623,-32.86828,8,"Aeroparque",2203365,0
"9203",14076,"Paraiso","02/12/2011 10:16","Bajo (2 - 4 mts)",35,"Mediano",-68.87628,-32.86846,8,"Aeroparque",2203365,0
"9204",14077,"Jacarand","02/12/2011 10:14","Medio (4 - 8 mts)",18,"Chico",-68.87629,-32.86849,8,"Aeroparque",2203365,0
"9205",14078,"Morera","02/12/2011 10:02","Alto (> 8 mts)",125,"Grande",-68.8763,-32.86852,8,"Aeroparque",2203365,0
"9207",14083,"Acacia SP","02/12/2011 09:44","Muy bajo (1 - 2 mts)",6,"Chico",-68.87634,-32.86868,8,"Aeroparque",2203365,0
"9208",14087,"Morera","02/12/2011 09:34","Medio (4 - 8 mts)",50,"Mediano",-68.87637,-32.86882,8,"Aeroparque",2203365,1
"9211",14092,"Morera","02/12/2011 09:06","Medio (4 - 8 mts)",40,"Mediano",-68.87659,-32.86885,8,"Aeroparque",2203365,0
"9212",14096,"Prunas","02/12/2011 08:50","Medio (4 - 8 mts)",30,"Mediano",-68.87676,-32.86882,8,"Aeroparque",2203365,0
"9213",14097,"Paraiso sombrilla","02/12/2011 08:49","Medio (4 - 8 mts)",80,"Grande",-68.87681,-32.86881,8,"Aeroparque",2203365,0
"9214",14099,"Prunas","02/12/2011 08:46","Medio (4 - 8 mts)",40,"Mediano",-68.87688,-32.8688,8,"Aeroparque",2203365,0
"9215",14100,"Acer","02/12/2011 08:44","Medio (4 - 8 mts)",30,"Mediano",-68.8769,-32.86879,8,"Aeroparque",2203365,0
"9217",14102,"Acer","02/12/2011 07:54","Medio (4 - 8 mts)",35,"Mediano",-68.87698,-32.86878,8,"Aeroparque",2203365,0
"9218",14104,"Paraiso","02/12/2011 07:52","Medio (4 - 8 mts)",75,"Grande",-68.87705,-32.86878,8,"Aeroparque",2203365,0
"9219",14105,"Acer","02/12/2011 07:51","Medio (4 - 8 mts)",78,"Grande",-68.87707,-32.86876,8,"Aeroparque",2203365,0
"9220",14106,"Acer","02/12/2011 07:50","Medio (4 - 8 mts)",30,"Mediano",-68.87711,-32.86876,8,"Aeroparque",2203365,0
"9221",14108,"Acer","02/12/2011 07:45","Medio (4 - 8 mts)",65,"Grande",-68.87714,-32.8687,8,"Aeroparque",2203365,0
"9223",14113,"Fresno europeo","02/12/2011 07:34","Muy bajo (1 - 2 mts)",18,"Chico",-68.87709,-32.86851,8,"Aeroparque",2203365,0
"9224",14114,"Caducifolio","02/12/2011 07:33","Bajo (2 - 4 mts)",45,"Mediano",-68.87636,-32.86721,8,"Aeroparque",2203365,1
"9225",14115,"Perenne","02/12/2011 07:31","Medio (4 - 8 mts)",110,"Grande",-68.87626,-32.86728,8,"Aeroparque",2203365,0
"9226",14116,"Morera","02/12/2011 07:30","Alto (> 8 mts)",120,"Grande",-68.87626,-32.86723,8,"Aeroparque",2203365,0
"9227",14118,"Acacia SP","01/12/2011 13:22","Medio (4 - 8 mts)",80,"Grande",-68.87618,-32.86724,8,"Aeroparque",2203365,0
"9228",14123,"Acer","01/12/2011 13:13","Alto (> 8 mts)",95,"Grande",-68.8761,-32.8674,8,"Aeroparque",2203365,0
"9230",14127,"Fresno europeo","01/12/2011 13:08","Alto (> 8 mts)",70,"Grande",-68.87631,-32.86737,8,"Aeroparque",2203365,0
"9231",14129,"Tilo","01/12/2011 13:01","Alto (> 8 mts)",78,"Grande",-68.87646,-32.86736,8,"Aeroparque",2203365,0
"9232",14130,"Perenne","01/12/2011 13:00","Medio (4 - 8 mts)",25,"Mediano",-68.87691,-32.86784,8,"Aeroparque",2203365,0
"9233",14131,"Paraiso","01/12/2011 12:58","Medio (4 - 8 mts)",120,"Grande",-68.8769,-32.86782,8,"Aeroparque",2203365,0
"9234",14132,"Paraiso","01/12/2011 12:57","Medio (4 - 8 mts)",95,"Grande",-68.87689,-32.86776,8,"Aeroparque",2203365,0
"9235",14136,"Aguaribay","01/12/2011 12:51","Alto (> 8 mts)",170,"Grande",-68.87661,-32.86724,8,"Aeroparque",2203365,0
"9236",14138,"Jacarand","01/12/2011 12:35","Medio (4 - 8 mts)",65,"Grande",-68.8762,-32.86714,8,"Aeroparque",2203365,0
"9237",14139,"Acer","01/12/2011 12:23","Medio (4 - 8 mts)",110,"Grande",-68.87585,-32.8662,8,"Aeroparque",2203365,0
"9239",14142,"Morera","01/12/2011 12:17","Alto (> 8 mts)",94,"Grande",-68.87572,-32.86637,8,"Aeroparque",2203365,0
"9240",14145,"Morera","01/12/2011 08:22","Alto (> 8 mts)",125,"Grande",-68.87578,-32.86659,8,"Aeroparque",2203365,0
"9242",14148,"Acer","30/11/2011 11:06","Alto (> 8 mts)",98,"Grande",-68.87601,-32.86747,8,"Aeroparque",2203365,0
"9243",14150,"Tilo","30/11/2011 11:03","Medio (4 - 8 mts)",58,"Mediano",-68.8762,-32.86747,8,"Aeroparque",2203365,0
"9244",14151,"Acer","30/11/2011 11:01","Medio (4 - 8 mts)",88,"Grande",-68.87625,-32.86746,8,"Aeroparque",2203365,0
"9245",14152,"Morera","30/11/2011 10:59","Medio (4 - 8 mts)",35,"Mediano",-68.87631,-32.86745,8,"Aeroparque",2203365,0
"9246",14153,"Morera","30/11/2011 10:58","Medio (4 - 8 mts)",40,"Mediano",-68.87636,-32.86745,8,"Aeroparque",2203365,0
"9248",14156,"Liquidambar","30/11/2011 10:36","Muy bajo (1 - 2 mts)",10,"Chico",-68.87657,-32.86741,8,"Aeroparque",2203365,0
"9249",14157,"Jacarand","30/11/2011 10:35","Medio (4 - 8 mts)",64,"Grande",-68.87662,-32.8674,8,"Aeroparque",2203365,0
"9251",14161,"Acacia SP","30/11/2011 10:30","Alto (> 8 mts)",70,"Grande",-68.87674,-32.86717,8,"Aeroparque",2203365,0
"9254",14164,"Morera","30/11/2011 10:26","Alto (> 8 mts)",110,"Grande",-68.8767,-32.86705,8,"Aeroparque",2203365,0
"9255",14165,"Acacia SP","30/11/2011 10:25","Medio (4 - 8 mts)",80,"Grande",-68.87669,-32.86702,8,"Aeroparque",2203365,0
"9257",14169,"Morera","30/11/2011 10:17","Alto (> 8 mts)",75,"Grande",-68.87664,-32.86684,8,"Aeroparque",2203365,0
"9258",14172,"Fresno europeo","30/11/2011 10:13","Medio (4 - 8 mts)",16,"Chico",-68.87661,-32.86669,8,"Aeroparque",2203365,0
"9259",14173,"Morera","30/11/2011 10:11","Alto (> 8 mts)",100,"Grande",-68.8766,-32.86666,8,"Aeroparque",2203365,0
"9260",14174,"Morera","30/11/2011 10:09","Medio (4 - 8 mts)",22,"Mediano",-68.87659,-32.8666,8,"Aeroparque",2203365,0
"9261",14176,"Morera","30/11/2011 10:00","Alto (> 8 mts)",120,"Grande",-68.87657,-32.86653,8,"Aeroparque",2203365,0
"9262",14177,"Acacia SP","30/11/2011 10:01","Alto (> 8 mts)",100,"Grande",-68.87656,-32.86651,8,"Aeroparque",2203365,1
"9263",14181,"Acer","30/11/2011 09:50","Bajo (2 - 4 mts)",14,"Chico",-68.87652,-32.86638,8,"Aeroparque",2203365,0
"9264",14182,"Morera","30/11/2011 09:49","Alto (> 8 mts)",120,"Grande",-68.8765,-32.86629,8,"Aeroparque",2203365,0
"9267",14190,"Morera","30/11/2011 13:26","Muy bajo (1 - 2 mts)",16,"Chico",-68.87735,-32.86726,8,"Aeroparque",2203365,0
"9269",14193,"Paraiso","30/11/2011 13:21","Medio (4 - 8 mts)",135,"Grande",-68.8771,-32.8673,8,"Aeroparque",2203365,0
"9270",14198,"Morera","30/11/2011 12:15","Medio (4 - 8 mts)",67,"Grande",-68.87687,-32.86723,8,"Aeroparque",2203365,0
"9273",14204,"Aguaribay","30/11/2011 12:04","Alto (> 8 mts)",130,"Grande",-68.8768,-32.86702,8,"Aeroparque",2203365,0
"9274",14208,"Paraiso sombrilla","30/11/2011 11:49","Medio (4 - 8 mts)",122,"Grande",-68.87675,-32.86679,8,"Aeroparque",2203365,0
"9275",14209,"Acer","30/11/2011 11:46","Medio (4 - 8 mts)",55,"Mediano",-68.87674,-32.86676,8,"Aeroparque",2203365,0
"9276",14211,"Paraiso","30/11/2011 11:42","Medio (4 - 8 mts)",125,"Grande",-68.87668,-32.86655,8,"Aeroparque",2203365,0
"9277",14212,"Paraiso","30/11/2011 11:40","Medio (4 - 8 mts)",65,"Grande",-68.87667,-32.86652,8,"Aeroparque",2203365,0
"9278",14214,"Morera","30/11/2011 11:38","Medio (4 - 8 mts)",110,"Grande",-68.87664,-32.86639,8,"Aeroparque",2203365,0
"9279",14215,"Morera","30/11/2011 11:34","Medio (4 - 8 mts)",100,"Grande",-68.87662,-32.86632,8,"Aeroparque",2203365,0
"9280",14217,"Morera","30/11/2011 11:32","Medio (4 - 8 mts)",120,"Grande",-68.8766,-32.86621,8,"Aeroparque",2203365,0
"9281",14218,"Morera","30/11/2011 11:31","Alto (> 8 mts)",120,"Grande",-68.87658,-32.86618,8,"Aeroparque",2203365,0
"9282",14220,"Morera","30/11/2011 11:29","Medio (4 - 8 mts)",80,"Grande",-68.87657,-32.86611,8,"Aeroparque",2203365,0
"9283",14221,"Morera","07/12/2011 16:57","Medio (4 - 8 mts)",70,"Grande",-68.87663,-32.86605,8,"Aeroparque",2203365,1
"9284",14223,"Paraiso sombrilla","07/12/2011 16:52","Medio (4 - 8 mts)",160,"Grande",-68.87673,-32.86603,8,"Aeroparque",2203365,0
"9285",14225,"Paraiso sombrilla","07/12/2011 16:47","Medio (4 - 8 mts)",110,"Grande",-68.8768,-32.86601,8,"Aeroparque",2203365,0
"9286",14226,"Fresno europeo","07/12/2011 16:45","Bajo (2 - 4 mts)",30,"Mediano",-68.87684,-32.866,8,"Aeroparque",2203365,1
"9287",14227,"Fresno europeo","07/12/2011 16:40","Bajo (2 - 4 mts)",30,"Mediano",-68.87691,-32.86599,8,"Aeroparque",2203365,0
"9288",14228,"Morera","07/12/2011 16:37","Bajo (2 - 4 mts)",22,"Mediano",-68.87701,-32.86598,8,"Aeroparque",2203365,0
"9289",14229,"Fresno europeo","07/12/2011 16:34","Bajo (2 - 4 mts)",35,"Mediano",-68.87709,-32.86596,8,"Aeroparque",2203365,0
"9290",14230,"Paraiso sombrilla","07/12/2011 16:32","Alto (> 8 mts)",160,"Grande",-68.87714,-32.86595,8,"Aeroparque",2203365,0
"9291",14231,"Paraiso","07/12/2011 16:29","Alto (> 8 mts)",120,"Grande",-68.8772,-32.86594,8,"Aeroparque",2203365,0
"9292",14232,"Fresno americano","07/12/2011 16:25","Bajo (2 - 4 mts)",25,"Mediano",-68.87731,-32.86593,8,"Aeroparque",2203365,0
"9293",14234,"Paraiso","07/12/2011 16:19","Muy bajo (1 - 2 mts)",20,"Chico",-68.87738,-32.86606,8,"Aeroparque",2203365,0
"9294",14237,"Liquidambar","07/12/2011 16:11","Muy bajo (1 - 2 mts)",12,"Chico",-68.87741,-32.86619,8,"Aeroparque",2203365,0
"9295",14238,"Morera","07/12/2011 10:43","Bajo (2 - 4 mts)",22,"Mediano",-68.87743,-32.86624,8,"Aeroparque",2203365,0
"9297",14240,"Morera","07/12/2011 10:07","Bajo (2 - 4 mts)",22,"Mediano",-68.87755,-32.86673,8,"Aeroparque",2203365,0
"9298",14241,"Acer","07/12/2011 10:04","Bajo (2 - 4 mts)",35,"Mediano",-68.87757,-32.86677,8,"Aeroparque",2203365,0
"9299",14242,"Morera","07/12/2011 10:01","Bajo (2 - 4 mts)",40,"Mediano",-68.87757,-32.8668,8,"Aeroparque",2203365,0
"9300",14243,"Morera","07/12/2011 09:51","Bajo (2 - 4 mts)",40,"Mediano",-68.87758,-32.86682,8,"Aeroparque",2203365,0
"9301",14244,"Morera","30/11/2011 14:31","Medio (4 - 8 mts)",70,"Grande",-68.87759,-32.86685,8,"Aeroparque",2203365,0
"9302",14247,"Paraiso sombrilla","30/11/2011 14:28","Bajo (2 - 4 mts)",60,"Mediano",-68.87764,-32.86702,8,"Aeroparque",2203365,0
"9303",14248,"Paraiso sombrilla","30/11/2011 14:26","Bajo (2 - 4 mts)",55,"Mediano",-68.87765,-32.86706,8,"Aeroparque",2203365,0
"9304",14249,"Paraiso sombrilla","30/11/2011 14:25","Bajo (2 - 4 mts)",50,"Mediano",-68.87767,-32.8671,8,"Aeroparque",2203365,0
"9306",14254,"Morera","07/12/2011 10:39","Medio (4 - 8 mts)",100,"Grande",-68.87766,-32.8673,8,"Aeroparque",2203365,0
"9307",14255,"Morera","07/12/2011 10:37","Medio (4 - 8 mts)",70,"Grande",-68.87773,-32.86737,8,"Aeroparque",2203365,0
"9308",14256,"Morera","07/12/2011 10:36","Medio (4 - 8 mts)",100,"Grande",-68.87774,-32.86741,8,"Aeroparque",2203365,0
"9310",14258,"Morera","07/12/2011 10:33","Alto (> 8 mts)",140,"Grande",-68.87777,-32.8675,8,"Aeroparque",2203365,0
"9311",14259,"Morera","07/12/2011 10:31","Medio (4 - 8 mts)",100,"Grande",-68.87779,-32.86758,8,"Aeroparque",2203365,0
"9312",14260,"Morera","07/12/2011 10:30","Bajo (2 - 4 mts)",50,"Mediano",-68.8778,-32.86762,8,"Aeroparque",2203365,0
"9313",14262,"Morera","07/12/2011 10:27","Medio (4 - 8 mts)",130,"Grande",-68.87783,-32.86773,8,"Aeroparque",2203365,0
"9314",14264,"Morera","07/12/2011 10:25","Medio (4 - 8 mts)",125,"Grande",-68.87785,-32.86784,8,"Aeroparque",2203365,0
"9315",14266,"Paraiso sombrilla","07/12/2011 10:23","Bajo (2 - 4 mts)",40,"Mediano",-68.87788,-32.86797,8,"Aeroparque",2203365,0
"9316",14267,"Acacia SP","07/12/2011 10:21","Alto (> 8 mts)",110,"Grande",-68.8779,-32.868,8,"Aeroparque",2203365,0
"9317",14268,"Paraiso","07/12/2011 10:18","Medio (4 - 8 mts)",110,"Grande",-68.8779,-32.86802,8,"Aeroparque",2203365,0
"9321",14275,"Jacarand","07/12/2011 10:05","Bajo (2 - 4 mts)",30,"Mediano",-68.87802,-32.86848,8,"Aeroparque",2203365,0
"9323",14278,"Jacarand","07/12/2011 09:54","Medio (4 - 8 mts)",40,"Mediano",-68.87795,-32.86859,8,"Aeroparque",2203365,0
"9324",14280,"Olmo bola","07/12/2011 09:48","Medio (4 - 8 mts)",80,"Grande",-68.87784,-32.86862,8,"Aeroparque",2203365,0
"9325",14283,"Paraiso sombrilla","07/12/2011 09:03","Bajo (2 - 4 mts)",100,"Grande",-68.87757,-32.86867,8,"Aeroparque",2203365,0
"9326",14284,"Paraiso sombrilla","07/12/2011 09:00","Bajo (2 - 4 mts)",100,"Grande",-68.87752,-32.86868,8,"Aeroparque",2203365,0
"9327",14285,"Fresno europeo","06/12/2011 10:31","Medio (4 - 8 mts)",130,"Grande",-68.87747,-32.86869,8,"Aeroparque",2203365,0
"9328",14286,"Paraiso","06/12/2011 10:28","Medio (4 - 8 mts)",105,"Grande",-68.87743,-32.8687,8,"Aeroparque",2203365,0
"9329",14288,"Jacarand","06/12/2011 10:26","Medio (4 - 8 mts)",80,"Grande",-68.87734,-32.86872,8,"Aeroparque",2203365,0
"9331",14292,"Acer","06/12/2011 10:17","Medio (4 - 8 mts)",150,"Grande",-68.87722,-32.86854,8,"Aeroparque",2203365,1
"9332",14294,"Morera","06/12/2011 10:10","Medio (4 - 8 mts)",115,"Grande",-68.87719,-32.86844,8,"Aeroparque",2203365,0
"9333",14296,"Fresno americano","06/12/2011 10:07","Medio (4 - 8 mts)",80,"Grande",-68.87716,-32.86833,8,"Aeroparque",2203365,0
"9336",14299,"Fresno americano","06/12/2011 10:00","Bajo (2 - 4 mts)",45,"Mediano",-68.87713,-32.8682,8,"Aeroparque",2203365,0
"9338",14302,"Fresno europeo","06/12/2011 09:56","Muy bajo (1 - 2 mts)",10,"Chico",-68.87711,-32.8681,8,"Aeroparque",2203365,0
"9339",14303,"Acer","06/12/2011 09:55","Medio (4 - 8 mts)",62,"Grande",-68.8771,-32.86808,8,"Aeroparque",2203365,0
"9340",14305,"Jacarand","06/12/2011 09:52","Muy bajo (1 - 2 mts)",10,"Chico",-68.87707,-32.86797,8,"Aeroparque",2203365,0
"9341",14307,"Morera","06/12/2011 09:45","Medio (4 - 8 mts)",142,"Grande",-68.87702,-32.86779,8,"Aeroparque",2203365,0
"9342",14309,"Caducifolio","06/12/2011 09:36","Muy bajo (1 - 2 mts)",40,"Mediano",-68.87698,-32.86767,8,"Aeroparque",2203365,0
"9344",14312,"Prunas","06/12/2011 09:32","Bajo (2 - 4 mts)",95,"Grande",-68.87695,-32.86755,8,"Aeroparque",2203365,0
"9346",14314,"Morera","06/12/2011 09:30","Medio (4 - 8 mts)",120,"Grande",-68.87699,-32.86743,8,"Aeroparque",2203365,0
"9347",14315,"Morera","06/12/2011 09:28","Bajo (2 - 4 mts)",40,"Mediano",-68.87704,-32.86742,8,"Aeroparque",2203365,0
"9348",14316,"Morera","06/12/2011 09:27","Alto (> 8 mts)",120,"Grande",-68.87709,-32.86742,8,"Aeroparque",2203365,0
"9349",14317,"Jacarand","06/12/2011 08:27","Muy bajo (1 - 2 mts)",16,"Chico",-68.87714,-32.86741,8,"Aeroparque",2203365,1
"9350",14319,"Conifera","06/12/2011 08:24","Alto (> 8 mts)",140,"Grande",-68.87727,-32.86738,8,"Aeroparque",2203365,0
"9352",14323,"Paraiso sombrilla","01/12/2011 12:31","Bajo (2 - 4 mts)",60,"Mediano",-68.87849,-32.86704,8,"Aeroparque",2203365,0
"9354",14325,"Paraiso sombrilla","01/12/2011 12:33","Bajo (2 - 4 mts)",80,"Grande",-68.87839,-32.86705,8,"Aeroparque",2203365,0
"9356",14327,"Paraiso sombrilla","01/12/2011 12:39","Bajo (2 - 4 mts)",44,"Mediano",-68.87827,-32.86708,8,"Aeroparque",2203365,0
"9357",14328,"Paraiso","01/12/2011 12:41","Medio (4 - 8 mts)",100,"Grande",-68.87815,-32.8671,8,"Aeroparque",2203365,0
"9359",14331,"Acer","01/12/2011 12:44","Bajo (2 - 4 mts)",22,"Mediano",-68.878,-32.86713,8,"Aeroparque",2203365,0
"9360",14335,"Morera","01/12/2011 12:49","Muy bajo (1 - 2 mts)",7,"Chico",-68.87777,-32.86711,8,"Aeroparque",2203365,0
"9361",14337,"Paraiso sombrilla","01/12/2011 12:51","Bajo (2 - 4 mts)",80,"Grande",-68.87775,-32.86702,8,"Aeroparque",2203365,0
"9362",14338,"Paraiso sombrilla","01/12/2011 12:52","Bajo (2 - 4 mts)",82,"Grande",-68.87773,-32.86697,8,"Aeroparque",2203365,0
"9363",14339,"Paraiso sombrilla","01/12/2011 12:53","Bajo (2 - 4 mts)",36,"Mediano",-68.87773,-32.86694,8,"Aeroparque",2203365,0
"9364",14340,"Morera","01/12/2011 12:54","Medio (4 - 8 mts)",100,"Grande",-68.87771,-32.86686,8,"Aeroparque",2203365,0
"9366",14343,"Morera","01/12/2011 12:57","Medio (4 - 8 mts)",87,"Grande",-68.87765,-32.86662,8,"Aeroparque",2203365,0
"9367",14345,"Morera","01/12/2011 13:00","Medio (4 - 8 mts)",80,"Grande",-68.87762,-32.86652,8,"Aeroparque",2203365,0
"9368",14346,"Fresno europeo","01/12/2011 13:03","Bajo (2 - 4 mts)",20,"Chico",-68.87759,-32.8664,8,"Aeroparque",2203365,0
"9369",14347,"Acacia SP","01/12/2011 13:04","Bajo (2 - 4 mts)",70,"Grande",-68.87757,-32.86633,8,"Aeroparque",2203365,0
"9370",14348,"Tilo","01/12/2011 13:05","Medio (4 - 8 mts)",60,"Mediano",-68.87755,-32.86623,8,"Aeroparque",2203365,0
"9371",14349,"Paraiso sombrilla","01/12/2011 13:06","Bajo (2 - 4 mts)",120,"Grande",-68.87753,-32.86617,8,"Aeroparque",2203365,0
"9372",14351,"Morera","01/12/2011 13:08","Medio (4 - 8 mts)",96,"Grande",-68.87746,-32.86595,8,"Aeroparque",2203365,0
"9373",14352,"Morera","01/12/2011 13:09","Bajo (2 - 4 mts)",55,"Mediano",-68.87751,-32.86588,8,"Aeroparque",2203365,0
"9374",14353,"Morera","01/12/2011 13:10","Bajo (2 - 4 mts)",22,"Mediano",-68.87755,-32.86587,8,"Aeroparque",2203365,0
"9375",14357,"Morera","01/12/2011 13:14","Bajo (2 - 4 mts)",25,"Mediano",-68.87771,-32.86584,8,"Aeroparque",2203365,0
"9376",14359,"Fresno europeo","01/12/2011 13:16","Bajo (2 - 4 mts)",32,"Mediano",-68.87782,-32.86582,8,"Aeroparque",2203365,0
"9377",14361,"Morera","01/12/2011 13:18","Bajo (2 - 4 mts)",62,"Grande",-68.8779,-32.8658,8,"Aeroparque",2203365,0
"9378",14362,"Morera","01/12/2011 13:19","Bajo (2 - 4 mts)",55,"Mediano",-68.87794,-32.8658,8,"Aeroparque",2203365,0
"9379",14364,"Acer","01/12/2011 13:20","Bajo (2 - 4 mts)",52,"Mediano",-68.87804,-32.86578,8,"Aeroparque",2203365,0
"9380",14365,"Paraiso sombrilla","01/12/2011 13:22","Bajo (2 - 4 mts)",86,"Grande",-68.87808,-32.86577,8,"Aeroparque",2203365,0
"9381",14366,"Morera","01/12/2011 13:24","Bajo (2 - 4 mts)",30,"Mediano",-68.87812,-32.86576,8,"Aeroparque",2203365,0
"9382",14367,"Paraiso sombrilla","01/12/2011 13:25","Bajo (2 - 4 mts)",26,"Mediano",-68.87816,-32.86576,8,"Aeroparque",2203365,0
"9383",14368,"Fresno europeo","30/11/2011 11:49","Bajo (2 - 4 mts)",40,"Mediano",-68.87825,-32.8658,8,"Aeroparque",2203365,0
"9385",14373,"Fresno europeo","30/11/2011 12:15","Bajo (2 - 4 mts)",40,"Mediano",-68.87831,-32.86607,8,"Aeroparque",2203365,0
"9386",14374,"Morera","30/11/2011 12:17","Medio (4 - 8 mts)",90,"Grande",-68.87833,-32.86609,8,"Aeroparque",2203365,0
"9388",14376,"Paraiso sombrilla","30/11/2011 12:24","Bajo (2 - 4 mts)",66,"Grande",-68.87839,-32.86634,8,"Aeroparque",2203365,0
"9389",14377,"Paraiso sombrilla","30/11/2011 12:25","Bajo (2 - 4 mts)",68,"Grande",-68.8784,-32.86639,8,"Aeroparque",2203365,0
"9390",14378,"Paraiso sombrilla","01/12/2011 11:30","Bajo (2 - 4 mts)",66,"Grande",-68.87842,-32.86642,8,"Aeroparque",2203365,0
"9391",14380,"Paraiso sombrilla","01/12/2011 11:33","Bajo (2 - 4 mts)",60,"Mediano",-68.87844,-32.86652,8,"Aeroparque",2203365,0
"9392",14381,"Paraiso sombrilla","01/12/2011 11:34","Bajo (2 - 4 mts)",62,"Grande",-68.87845,-32.86656,8,"Aeroparque",2203365,0
"9393",14382,"Paraiso sombrilla","01/12/2011 11:35","Bajo (2 - 4 mts)",40,"Mediano",-68.87847,-32.8666,8,"Aeroparque",2203365,0
